void,subject_id,segment,segment_number,mean_heart_rate,rsp_rate,rsp_peak_freq,resp_amp,rsp_power,mean_ibi,rsa,sdnn,avnn,rmssd,nn50,pnn50,filename
,5,A2,25,84.02,6.72,0.11,20.2,23.47,714.08,4.99,41.95,714.08,21.11,1,1.22,subject 005 A2.xlsx
,5,A2,26,87.19,9.06,0.15,33.42,30.6,688.15,6.43,38.28,688.15,22.76,0,0,subject 005 A2.xlsx
,5,A3,1,86.38,6.92,0.12,34.94,55.95,694.61,5.74,51.73,694.61,17.35,1,1.19,subject 005 A3.xlsx
,5,A3,2,79.93,8.53,0.14,19.05,24.32,750.65,4.65,35.68,750.65,18.95,2,2.56,subject 005 A3.xlsx
,5,A3,3,76.71,7.02,0.12,7.3,11.67,782.17,5.25,64.72,782.17,23.21,3,4,subject 005 A3.xlsx
,5,A3,4,81.8,7.03,0.12,21.84,25.74,733.48,4.96,44.11,733.48,21.44,3,3.8,subject 005 A3.xlsx
,5,A3,5,77.54,7.85,0.13,5.28,11.04,773.81,5.88,53.8,773.81,25.03,3,3.95,subject 005 A3.xlsx
,5,A3,6,78.42,10.34,0.17,12.77,34.39,765.12,6.04,43.53,765.12,25.17,5,6.58,subject 005 A3.xlsx
,5,A3,7,81.32,14.28,0.24,21.43,35.22,737.8,5.92,44.44,737.8,27.07,4,5,subject 005 A3.xlsx
,5,A3,8,80.95,8.55,0.14,13.05,18.85,741.23,5.09,55.99,741.23,25.18,4,5.06,subject 005 A3.xlsx
,5,A3,9,79.96,15.27,0.25,5.35,8.39,750.34,5.83,50.94,750.34,29.77,4,5.13,subject 005 A3.xlsx
,5,A3,10,83.45,6.99,0.12,72.77,124.66,718.97,5.56,55.41,718.97,23.42,3,3.7,subject 005 A3.xlsx
,5,A4,1,86.38,6.92,0.12,34.94,55.95,694.61,5.74,51.73,694.61,17.35,1,1.19,subject 005 A4.xlsx
,5,A4,2,79.93,8.53,0.14,19.05,24.32,750.65,4.65,35.68,750.65,18.95,2,2.56,subject 005 A4.xlsx
,5,A4,3,76.71,7.02,0.12,7.3,11.67,782.17,5.25,64.72,782.17,23.21,3,4,subject 005 A4.xlsx
,5,A4,4,81.8,7.03,0.12,21.84,25.74,733.48,4.96,44.11,733.48,21.44,3,3.8,subject 005 A4.xlsx
,5,A4,5,77.54,7.85,0.13,5.28,11.04,773.81,5.88,53.8,773.81,25.03,3,3.95,subject 005 A4.xlsx
,5,A4,6,78.42,10.34,0.17,12.77,34.39,765.12,6.04,43.53,765.12,25.17,5,6.58,subject 005 A4.xlsx
,5,A4,7,81.32,14.28,0.24,21.43,35.22,737.8,5.92,44.44,737.8,27.07,4,5,subject 005 A4.xlsx
,5,A4,8,80.95,8.55,0.14,13.05,18.85,741.23,5.09,55.99,741.23,25.18,4,5.06,subject 005 A4.xlsx
,5,A4,9,79.96,15.27,0.25,5.35,8.39,750.34,5.83,50.94,750.34,29.77,4,5.13,subject 005 A4.xlsx
,5,A4,10,83.45,6.99,0.12,72.77,124.66,718.97,5.56,55.41,718.97,23.42,3,3.7,subject 005 A4.xlsx
,6,A1,1,99.06,6.47,0.11,20.75,22.27,605.69,4.83,36.39,605.69,18.66,2,2.06,subject 006 A1.xlsx
,6,A1,2,95.86,20.51,0.34,3.06,5.46,625.92,4.85,23.36,625.92,15,0,0,subject 006 A1.xlsx
,6,A1,3,97.92,20.97,0.35,4.26,5.2,612.73,4.07,18.63,612.73,12.13,0,0,subject 006 A1.xlsx
,6,A1,4,98.86,21.2,0.35,2.49,4.01,606.95,4.86,25.21,606.95,13.53,0,0,subject 006 A1.xlsx
,6,A1,5,99.92,7.07,0.12,3.86,6.6,600.45,4.4,24.17,600.45,11.31,0,0,subject 006 A1.xlsx
,6,A1,6,99.08,18.23,0.3,3.3,5.59,605.54,4.92,31.05,605.54,11.96,0,0,subject 006 A1.xlsx
,6,A1,7,99.3,17.67,0.29,2.55,3.44,604.22,6.02,30.28,604.22,17.45,2,2.06,subject 006 A1.xlsx
,6,A1,8,99.03,21.39,0.36,2.34,4.38,605.86,4.4,24.89,605.86,11.73,0,0,subject 006 A1.xlsx
,6,A1,9,97.87,22.34,0.37,2.7,5.06,613.05,4.82,28.74,613.05,13.53,0,0,subject 006 A1.xlsx
,6,A1,10,97.41,21,0.35,3.58,8.86,615.96,4.15,24.43,615.96,14.78,0,0,subject 006 A1.xlsx
,6,A2,1,98.61,20.69,0.34,7.81,15.28,608.45,4.41,41.99,608.45,15.5,1,1.03,subject 006 A2.xlsx
,6,A2,2,94.88,18.31,0.31,7.96,16.69,632.4,5.83,36.17,632.4,18.14,1,1.08,subject 006 A2.xlsx
,6,A2,3,95.6,7.13,0.12,5.92,9.95,627.63,5.43,29.94,627.63,16.59,0,0,subject 006 A2.xlsx
,6,A2,4,96.36,21.64,0.36,13.34,22.61,622.68,4.57,22.67,622.68,16.27,0,0,subject 006 A2.xlsx
,6,A2,5,98.02,21.71,0.36,33.12,41.68,612.1,3.75,16.63,612.1,10.83,0,0,subject 006 A2.xlsx
